t,n_feasible,max_rounds,cost_classical,cost_quantum_mean,cost_quantum_std,approx_ratio_mean,approx_ratio_std,converged_frac,rounds_mean,rounds_std,runtime_trial_mean_s,n_trials_ok,n_trials
1,27,100,-0.6092837223633101,-0.60928372236331,1.1102230246251565e-16,1.0,0.0,1.0,4.3,1.242309676905615,0.0027252292454553145,30,30
2,729,100,-1.25079683027461,-1.2507968302746097,2.220446049250313e-16,1.0,0.0,1.0,8.8,1.492201952373293,0.00562387362588197,30,30
3,19683,100,-1.7957439989684119,-1.7957439989684119,0.0,1.0,0.0,1.0,13.8,2.023198787399136,0.02072000967649122,30,30
4,531441,100,-2.4076314843194355,-2.407631484319436,4.440892098500626e-16,1.0,0.0,1.0,21.4,4.127953488110059,0.6532778541479881,30,30
5,14348907,100,-3.099590155936719,-3.09959015593672,8.881784197001252e-16,1.0,0.0,1.0,28.6,3.48903042883454,152.20058180134123,30,30
