label,T,n_vars,n_binary_vars,n_constraints,runtime_classical_s,status,mip_gap,C_opt,C_ref_passive,C_greedy,r_greedy,energy_opt,demand_opt,resiliency_opt,export_opt,energy_greedy,demand_greedy,resiliency_greedy,export_greedy
15_minutes,1,13,7,16,0.0,OPTIMAL,0.0,-0.61,3.56,0.0,0.854,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0
1_hour,4,49,28,64,0.0,OPTIMAL,0.0,-2.41,14.39,0.0,0.8567,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0
1_day,96,1153,672,1536,0.03,OPTIMAL,0.0,775.19,1136.93,976.0,0.4449,631.49,143.7,0.0,0.0,873.08,102.92,0.0,0.0
1_week,672,8066,4705,10755,0.31,OPTIMAL,2.054176491521448e-05,3991.41,6389.08,6101.04,0.1201,2883.07,1108.62,0.0,0.28,5329.52,887.94,0.0,116.42
1_month,2880,34576,20175,46125,2.71,OPTIMAL,1.1124335973899257e-05,12104.16,25477.91,23432.61,0.1529,10609.26,4435.35,2925.0,15.46,21760.94,4360.75,1800.0,889.08
6_months,17280,207462,121061,276783,36.85,OPTIMAL,5.0150578687559093e-05,47946.13,134126.54,129397.06,0.0549,49041.93,21321.63,21150.0,1267.43,114680.65,27991.92,4725.0,8550.5
1_year,35040,420683,245482,561246,107.19,OPTIMAL,5.805087064407128e-05,107958.85,283206.35,274190.08,0.0514,109079.77,43488.49,42750.0,1859.41,239023.55,59339.77,9000.0,15173.25
